PJ,LATITUDE,LONGITUDE
PROMOTORIA DE JUSTIÇA DE ANDRADINA,-20.890823448799644,-51.3749834875957
PROMOTORIA DE JUSTIÇA DE ARAÇATUBA,-21.22269501035656,-50.4430001736112
PROMOTORIA DE JUSTIÇA DE BILAC,-21.405886718020316,-50.473083472654906
PROMOTORIA DE JUSTIÇA DE BIRIGUI,-21.30675323983098,-50.33996844578154
PROMOTORIA DE JUSTIÇA DE BURITAMA,-21.069653773376974,-50.1485988179285
PROMOTORIA DE JUSTIÇA DE CAFELÂNDIA,-21.803786537199883,-49.60746170397818
PROMOTORIA DE JUSTIÇA DE GETULINA,-21.797424173004273,-49.93007605840178
PROMOTORIA DE JUSTIÇA DE GUARARAPES,-21.25008066917414,-50.640563884038976
PROMOTORIA DE JUSTIÇA DE ILHA SOLTEIRA,-20.42625093929306,-51.34257711008133
PROMOTORIA DE JUSTIÇA DE LINS,-21.669043996731457,-49.75613800072293
PROMOTORIA DE JUSTIÇA DE MIRANDÓPOLIS,-21.134387357852503,-51.103549165061764
PROMOTORIA DE JUSTIÇA DE PENÁPOLIS,-21.42104008885338,-50.07319057360618
PROMOTORIA DE JUSTIÇA DE PEREIRA BARRETO,-20.642444744503752,-51.10783619907969
PROMOTORIA DE JUSTIÇA DE PROMISSÃO,-21.539865172214743,-49.855028691394374
PROMOTORIA DE JUSTIÇA DE VALPARAÍSO,-21.220398563041407,-50.86688001298006
PROMOTORIA DE JUSTIÇA DE AGUDOS,-22.471398684022095,-48.992882052054156
PROMOTORIA DE JUSTIÇA DE AVARÉ,-23.08787867913325,-48.92908325184271
PROMOTORIA DE JUSTIÇA DE BARIRI,-22.073804587479,-48.74041606168288
PROMOTORIA DE JUSTIÇA DE BARRA BONITA,-22.491343978714475,-48.55880879961671
PROMOTORIA DE JUSTIÇA DE BAURU,-22.351916186996277,-49.05112789412652
PROMOTORIA DE JUSTIÇA DE BORBOREMA,-21.62087832691938,-49.07354438784947
PROMOTORIA DE JUSTIÇA DE BOTUCATU,-22.919180752793963,-48.47230993919297
PROMOTORIA DE JUSTIÇA DE CERQUEIRA CÉSAR,-23.0360984339427,-49.164002654545975
PROMOTORIA DE JUSTIÇA DE CHAVANTES,-23.035638969400367,-49.71146264072471
PROMOTORIA DE JUSTIÇA DE DOIS CÓRREGOS,-22.368880584984694,-48.38453189079647
PROMOTORIA DE JUSTIÇA DE DUARTINA,-22.413004067320305,-49.40246527369027
PROMOTORIA DE JUSTIÇA DE FARTURA,-23.392625301559566,-49.51234798534595
PROMOTORIA DE JUSTIÇA DE GÁLIA,-22.29492848109563,-49.55733972625408
PROMOTORIA DE JUSTIÇA DE GARÇA,-22.20903703401598,-49.6491263711446
PROMOTORIA DE JUSTIÇA DE IACANGA,-21.89185215196092,-49.02216190535511
PROMOTORIA DE JUSTIÇA DE IBITINGA,-21.75837505916334,-48.82632194469597
PROMOTORIA DE JUSTIÇA DE IPAUSSU (IPAUÇU),-23.057223063405864,-49.62699448422229
PROMOTORIA DE JUSTIÇA DE ITÁPOLIS,-21.59647080344286,-48.81351057739948
PROMOTORIA DE JUSTIÇA DE ITATINGA,-23.103783514692893,-48.613724599340614
PROMOTORIA DE JUSTIÇA DE JAÚ,-22.294134193092543,-48.55047556788334
